query_text,plan_hash,execution_time_ms,cpu_usage_ms,memory_usage_kb,rows_processed,actual_cost,buffers_hit,schema_version,release_version,statistics_version,regression_label,severity,execution_timestamp,Execution_Time_Difference,Plan_Difference_Score,CPU_Difference,Memory_Difference
SELECT COUNT(*) FROM shipments WHERE status = 1,0c1c090731f14c809657b657c53fba5f,16.01,5.61,882.42,132,10.0,249,v1.0,r1.0.0,s4,Major,2,2026-08-08 15:16:38,8.216208512932514,0.802984969181771,5.9566412287742505,135.84040328669593
"SELECT t1.id, t2.name FROM products t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",92ed2503ea9c4c6794f3e4766f564238,104.37,61.39,7952.23,788,108.1,3339,v1.0,r1.1.0,s4,No Regression,0,2026-08-08 15:21:38,2.3715881416197453,0.0,1.7193696678715624,172.31454735594548
SELECT COUNT(*) FROM inventory WHERE category_id = 5,b49f95dc7d1a4a5eacfdfda1167b4d66,13.16,8.47,1809.85,76,12.34,156,v1.0,r2.0.0,s1,No Regression,0,2026-08-08 15:26:38,0.948715429033658,0.0,0.6878059910554946,39.21711061326922
"SELECT customer_id, SUM(total_amount) FROM payments GROUP BY customer_id HAVING SUM(total_amount) > 1000",680a94be8fea40a08db9598a06314589,55.43,40.51,4645.46,476,59.96,563,v1.1,r1.2.0,s1,No Regression,0,2026-08-08 15:31:38,-0.9535172790953833,0.0,-0.6912872680955117,100.66111482692911
"SELECT customer_id, SUM(total_amount) FROM employees GROUP BY customer_id HAVING SUM(total_amount) > 1000",2aefead8fd514c07a4b8583b85f20adb,104.84,67.94,8280.8,913,92.66,1888,v1.0,r1.1.0,s2,No Regression,0,2026-08-08 15:36:38,-8.509445646500977,0.0,-6.16923422673336,179.43423464174364
"SELECT t1.id, t2.name FROM customers t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",59c7dd84eafe4ae08c2798acfe975460,8.88,5.25,-13.14,115,7.21,260,v1.2,r1.0.0,s2,No Regression,0,2026-08-08 15:41:38,0.622087697879393,0.0,0.4510052566544557,-0.28472681905039515
"SELECT id, status, created_at FROM customers WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",b8ca4f770b814f58a41efe2d50f2e66a,65.47,36.48,6745.8,873,56.03,3474,v1.2,r2.0.0,s4,No Regression,0,2026-08-08 15:46:38,0.24495866655877085,0.0,0.17759175540309508,146.17276833715033
"SELECT id, status, created_at FROM payments WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",f15196dbac574b6f886512cdb37e853a,95.48,71.71,10309.15,928,106.64,2495,v1.0,r2.0.0,s4,No Regression,0,2026-08-08 15:51:38,7.227365367737025,0.0,5.239743180460242,223.38595788534099
"SELECT id, status, created_at FROM employees WHERE created_at > CURRENT_DATE - INTERVAL '30 days'",062012454d1b400eb4d02912ed333822,44.56,35.98,5233.58,442,41.71,960,v1.1,r2.0.0,s1,No Regression,0,2026-08-08 15:56:38,-1.3752990238399792,0.0,-0.99707338907034,113.40491519374177
SELECT * FROM orders WHERE status = 'PENDING' ORDER BY created_at DESC LIMIT 100,b359e1da6329401a8058d09b005eb3a3,53.76,44.98,4504.95,485,53.92,870,v1.2,r1.1.0,s1,No Regression,0,2026-08-08 16:01:38,-3.206953395317837,0.0,-2.324998298575276,97.61644470936662
"SELECT t1.id, t2.name FROM products t1 JOIN customers t2 ON t1.customer_id = t2.id WHERE t2.is_active = true",0315c98722184f40a3667d4dfd7410cf,8.8,5.25,2920.73,99,9.03,130,v2.0,r1.0.0,s2,No Regression,0,2026-08-08 16:06:38,0.6670121557219849,0.0,0.48357488744514293,63.28844461225727
